Date,State,Dead,Injured,Total
31-Dec-17,Colorado,2,6,8
31-Dec-17,Illinois,0,4,4
31-Dec-17,New Jersey,4,0,4
27-Dec-17,Nevada,2,2,4
26-Dec-17,Florida,0,5,5
24-Dec-17,Mississippi,0,5,5
24-Dec-17,Alabama,1,4,5
23-Dec-17,Louisiana,1,3,4
23-Dec-17,Alabama,0,4,4
21-Dec-17,Pennsylvania,1,3,4
21-Dec-17,Louisiana,0,4,4
16-Dec-17,Mississippi,0,4,4
15-Dec-17,California,0,5,5
13-Dec-17,Ohio,1,3,4
12-Dec-17,Kentucky,0,4,4
12-Dec-17,Texas,0,4,4
9-Dec-17,Massachusetts,0,4,4
6-Dec-17,Illinois,0,4,4
4-Dec-17,Pennsylvania,2,2,4
3-Dec-17,Tennessee,1,3,4
2-Dec-17,Michigan,0,4,4
30-Nov-17,Michigan,1,4,5
24-Nov-17,Mississippi,1,6,7
24-Nov-17,Ohio,1,5,6
18-Nov-17,Minnesota,0,4,4
17-Nov-17,Louisiana,0,4,4
16-Nov-17,Georgia,0,7,7
14-Nov-17,California,2,2,4
14-Nov-17,California,6,12,18
12-Nov-17,Indiana,0,7,7
12-Nov-17,California,0,5,5
12-Nov-17,Georgia,2,2,4
11-Nov-17,Texas,1,3,4
11-Nov-17,North Carolina,1,5,6
11-Nov-17,Louisiana,1,5,6
10-Nov-17,Ohio,0,4,4
9-Nov-17,Pennsylvania,0,4,4
5-Nov-17,Texas,27,20,47
4-Nov-17,Texas,0,4,4
4-Nov-17,Ohio,0,4,4
4-Nov-17,California,1,3,4
3-Nov-17,Minnesota,0,4,4
3-Nov-17,California,0,4,4
3-Nov-17,New York,0,4,4
3-Nov-17,Louisiana,1,4,5
29-Oct-17,Texas,1,3,4
28-Oct-17,Ohio,0,4,4
28-Oct-17,Virginia,1,3,4
27-Oct-17,Kentucky,0,6,6
27-Oct-17,California,0,4,4
23-Oct-17,California,2,3,5
22-Oct-17,Connecticut,0,4,4
22-Oct-17,Alabama,2,7,9
21-Oct-17,Florida,0,4,4
21-Oct-17,Florida,0,4,4
21-Oct-17,Tennessee,0,4,4
21-Oct-17,Pennsylvania,0,4,4
18-Oct-17,Maryland,3,3,6
17-Oct-17,New York,0,4,4
16-Oct-17,Mississippi,1,3,4
15-Oct-17,Texas,2,2,4
15-Oct-17,Arizona,1,3,4
12-Oct-17,California,2,2,4
11-Oct-17,Ohio,4,0,4
10-Oct-17,California,0,4,4
9-Oct-17,Texas,0,5,5
7-Oct-17,Arizona,0,4,4
6-Oct-17,Illinois,0,5,5
5-Oct-17,Arizona,4,0,4
3-Oct-17,Florida,0,4,4
1-Oct-17,Kansas,3,2,5
1-Oct-17,Nevada,59,441,500
30-Sep-17,Tennessee,1,3,4
28-Sep-17,Louisiana,1,3,4
26-Sep-17,Pennsylvania,1,3,4
26-Sep-17,Tennessee,0,4,4
26-Sep-17,Maryland,2,2,4
24-Sep-17,Maryland,0,4,4
24-Sep-17,Tennessee,1,8,9
24-Sep-17,New York,0,4,4
24-Sep-17,Pennsylvania,0,4,4
24-Sep-17,New Jersey,1,3,4
23-Sep-17,California,1,4,5
23-Sep-17,Illinois,0,5,5
23-Sep-17,Connecticut,2,2,4
20-Sep-17,Indiana,0,5,5
17-Sep-17,Michigan,1,3,4
17-Sep-17,Virginia,1,4,5
16-Sep-17,South Carolina,0,8,8
13-Sep-17,Tennessee,1,5,6
13-Sep-17,Washington,1,3,4
13-Sep-17,Pennsylvania,0,4,4
13-Sep-17,Pennsylvania,0,4,4
10-Sep-17,Texas,9,1,10
10-Sep-17,Louisiana,1,3,4
9-Sep-17,Alabama,0,4,4
6-Sep-17,Illinois,0,4,4
4-Sep-17,Illinois,0,4,4
3-Sep-17,California,2,3,5
2-Sep-17,Kentucky,0,4,4
2-Sep-17,Illinois,1,3,4
28-Aug-17,New Mexico,2,4,6
27-Aug-17,California,1,4,5
27-Aug-17,Indiana,1,3,4
25-Aug-17,Florida,0,4,4
24-Aug-17,Missouri,4,0,4
22-Aug-17,Illinois,0,4,4
21-Aug-17,New Jersey,0,4,4
21-Aug-17,North Carolina,4,0,4
21-Aug-17,New Jersey,1,3,4
21-Aug-17,Maryland,1,3,4
21-Aug-17,Tennessee,0,4,4
20-Aug-17,New York,0,4,4
20-Aug-17,Illinois,2,5,7
19-Aug-17,Ohio,1,4,5
16-Aug-17,New York,0,4,4
14-Aug-17,California,2,2,4
13-Aug-17,Pennsylvania,0,5,5
13-Aug-17,California,0,4,4
13-Aug-17,Virginia,0,4,4
12-Aug-17,Missouri,1,3,4
8-Aug-17,Illinois,1,6,7
6-Aug-17,New York,0,6,6
6-Aug-17,New York,0,4,4
6-Aug-17,California,0,7,7
5-Aug-17,New Jersey,0,4,4
5-Aug-17,South Carolina,1,3,4
5-Aug-17,Florida,1,3,4
4-Aug-17,Montana,3,2,5
3-Aug-17,District of Columbia,1,3,4
2-Aug-17,Maryland,0,4,4
1-Aug-17,Illinois,0,4,4
1-Aug-17,Washington,0,6,6
1-Aug-17,California,0,7,7
31-Jul-17,Illinois,0,4,4
30-Jul-17,Texas,1,3,4
30-Jul-17,Virginia,1,5,6
29-Jul-17,New York,1,4,5
29-Jul-17,North Carolina,2,3,5
28-Jul-17,Delaware,0,4,4
27-Jul-17,Illinois,1,4,5
26-Jul-17,North Carolina,1,6,7
25-Jul-17,Florida,1,3,4
23-Jul-17,Illinois,1,3,4
23-Jul-17,Louisiana,0,4,4
22-Jul-17,Ohio,0,5,5
19-Jul-17,Virginia,0,5,5
19-Jul-17,California,1,3,4
18-Jul-17,Wisconsin,0,4,4
18-Jul-17,New Jersey,1,3,4
18-Jul-17,Arizona,0,4,4
15-Jul-17,Pennsylvania,1,3,4
15-Jul-17,Illinois,0,4,4
9-Jul-17,Virginia,0,7,7
8-Jul-17,Illinois,0,4,4
8-Jul-17,Ohio,1,8,9
6-Jul-17,Mississippi,0,4,4
5-Jul-17,Georgia,0,4,4
5-Jul-17,Illinois,2,2,4
5-Jul-17,Maine,4,1,5
4-Jul-17,Florida,0,4,4
4-Jul-17,Virginia,1,4,5
4-Jul-17,North Carolina,1,3,4
3-Jul-17,Alabama,3,1,4
3-Jul-17,Michigan,1,3,4
2-Jul-17,New Jersey,0,4,4
2-Jul-17,South Carolina,0,4,4
1-Jul-17,Arkansas,0,25,25
1-Jul-17,Illinois,0,4,4
1-Jul-17,New Jersey,2,2,4
1-Jul-17,California,0,4,4
30-Jun-17,New York,2,6,8
27-Jun-17,Illinois,0,5,5
25-Jun-17,District of Columbia,0,4,4
25-Jun-17,Missouri,1,3,4
24-Jun-17,Florida,1,4,5
24-Jun-17,New York,0,5,5
24-Jun-17,New Jersey,0,4,4
22-Jun-17,Georgia,1,6,7
18-Jun-17,Missouri,3,2,5
18-Jun-17,District of Columbia,0,4,4
18-Jun-17,Illinois,0,4,4
18-Jun-17,South Carolina,0,7,7
17-Jun-17,Illinois,0,4,4
17-Jun-17,Ohio,1,4,5
15-Jun-17,Virginia,1,3,4
15-Jun-17,New Mexico,5,0,5
14-Jun-17,Virginia,1,5,6
14-Jun-17,Ohio,0,4,4
14-Jun-17,California,4,2,6
13-Jun-17,Maryland,0,4,4
13-Jun-17,Maryland,2,2,4
13-Jun-17,Missouri,0,4,4
11-Jun-17,Illinois,0,9,9
11-Jun-17,Tennessee,0,4,4
11-Jun-17,Texas,0,4,4
10-Jun-17,Tennessee,0,4,4
9-Jun-17,Texas,2,5,7
8-Jun-17,Louisiana,0,6,6
6-Jun-17,Utah,3,2,5
5-Jun-17,Florida,6,0,6
3-Jun-17,Missouri,2,2,4
3-Jun-17,Louisiana,3,2,5
2-Jun-17,California,1,3,4
2-Jun-17,Texas,2,3,5
1-Jun-17,Missouri,3,1,4
30-May-17,Ohio,1,3,4
29-May-17,Kentucky,1,3,4
28-May-17,Alabama,0,12,12
28-May-17,New Jersey,1,5,6
28-May-17,Mississippi,0,5,5
27-May-17,New York,0,4,4
27-May-17,District of Columbia,1,7,8
27-May-17,Mississippi,8,1,9
26-May-17,Florida,0,4,4
21-May-17,Iowa,1,3,4
21-May-17,Arizona,0,4,4
20-May-17,Pennsylvania,0,10,10
16-May-17,South Carolina,3,1,4
14-May-17,Arkansas,1,6,7
14-May-17,Illinois,0,5,5
14-May-17,Florida,0,5,5
14-May-17,Texas,0,4,4
10-May-17,New Jersey,1,3,4
9-May-17,Kansas,3,1,4
7-May-17,Illinois,2,8,10
4-May-17,Michigan,1,3,4
2-May-17,Florida,1,3,4
1-May-17,Texas,2,3,5
30-Apr-17,California,2,6,8
30-Apr-17,Kansas,4,1,5
30-Apr-17,Florida,0,5,5
30-Apr-17,South Carolina,1,5,6
29-Apr-17,California,1,3,4
29-Apr-17,California,0,5,5
29-Apr-17,California,1,5,6
29-Apr-17,Maryland,1,3,4
29-Apr-17,California,0,4,4
29-Apr-17,Virginia,0,4,4
28-Apr-17,Pennsylvania,0,4,4
27-Apr-17,New Jersey,1,3,4
26-Apr-17,Florida,0,4,4
21-Apr-17,Florida,2,2,4
20-Apr-17,Kentucky,0,4,4
16-Apr-17,California,0,4,4
16-Apr-17,North Carolina,0,4,4
16-Apr-17,Ohio,0,9,9
15-Apr-17,Illinois,0,4,4
15-Apr-17,Pennsylvania,0,4,4
15-Apr-17,Indiana,0,4,4
15-Apr-17,Alabama,0,6,6
15-Apr-17,Illinois,0,4,4
15-Apr-17,California,0,4,4
13-Apr-17,Georgia,1,3,4
9-Apr-17,Texas,1,3,4
9-Apr-17,Indiana,1,3,4
7-Apr-17,North Carolina,3,1,4
7-Apr-17,Texas,5,0,5
7-Apr-17,Minnesota,4,1,5
7-Apr-17,Illinois,1,5,6
6-Apr-17,Louisiana,1,3,4
3-Apr-17,Pennsylvania,3,1,4
3-Apr-17,Texas,0,7,7
2-Apr-17,Illinois,2,4,6
2-Apr-17,Iowa,0,5,5
1-Apr-17,California,0,5,5
1-Apr-17,Florida,1,4,5
1-Apr-17,Oklahoma,2,3,5
30-Mar-17,Illinois,4,0,4
27-Mar-17,Florida,2,4,6
26-Mar-17,Ohio,2,2,4
26-Mar-17,Texas,2,4,6
26-Mar-17,Ohio,2,15,17
25-Mar-17,Tennessee,1,4,5
25-Mar-17,Michigan,1,3,4
25-Mar-17,Ohio,2,2,4
24-Mar-17,California,1,4,5
24-Mar-17,Missouri,1,6,7
22-Mar-17,Wisconsin,5,0,5
19-Mar-17,Kentucky,1,5,6
18-Mar-17,Michigan,3,2,5
15-Mar-17,Louisiana,3,1,4
10-Mar-17,Illinois,2,2,4
10-Mar-17,Louisiana,3,1,4
7-Mar-17,Illinois,0,4,4
5-Mar-17,Georgia,0,4,4
4-Mar-17,Kansas,1,4,5
4-Mar-17,California,0,4,4
3-Mar-17,Pennsylvania,0,4,4
3-Mar-17,California,0,5,5
28-Feb-17,Ohio,0,6,6
27-Feb-17,Virginia,0,4,4
26-Feb-17,Indiana,1,4,5
25-Feb-17,Ohio,2,3,5
25-Feb-17,Florida,1,4,5
22-Feb-17,New York,0,4,4
21-Feb-17,Ohio,0,4,4
21-Feb-17,Mississippi,4,0,4
20-Feb-17,Ohio,0,5,5
19-Feb-17,Virginia,1,3,4
18-Feb-17,Pennsylvania,0,4,4
18-Feb-17,Indiana,1,3,4
15-Feb-17,California,0,4,4
15-Feb-17,Illinois,3,2,5
12-Feb-17,Missouri,1,6,7
12-Feb-17,New York,1,3,4
12-Feb-17,Florida,0,5,5
11-Feb-17,Illinois,1,3,4
11-Feb-17,Tennessee,0,4,4
10-Feb-17,Louisiana,1,5,6
9-Feb-17,Mississippi,4,0,4
8-Feb-17,Ohio,1,4,5
7-Feb-17,South Carolina,0,4,4
7-Feb-17,Arkansas,1,4,5
6-Feb-17,Mississippi,4,0,4
31-Jan-17,Tennessee,0,4,4
31-Jan-17,District of Columbia,0,4,4
30-Jan-17,Minnesota,0,4,4
29-Jan-17,Louisiana,1,4,5
27-Jan-17,Washington,4,0,4
27-Jan-17,Tennessee,0,10,10
26-Jan-17,Georgia,2,3,5
25-Jan-17,Illinois,0,6,6
22-Jan-17,Texas,3,2,5
22-Jan-17,Illinois,0,4,4
22-Jan-17,Georgia,3,1,4
21-Jan-17,Georgia,0,6,6
21-Jan-17,Florida,0,5,5
21-Jan-17,Tennessee,2,2,4
20-Jan-17,Mississippi,1,4,5
20-Jan-17,California,0,4,4
16-Jan-17,Texas,0,4,4
16-Jan-17,Florida,0,8,8
15-Jan-17,Colorado,3,1,4
15-Jan-17,Mississippi,1,4,5
12-Jan-17,Missouri,3,2,5
12-Jan-17,California,2,2,4
11-Jan-17,New Jersey,1,3,4
11-Jan-17,Illinois,1,3,4
7-Jan-17,Michigan,1,3,4
6-Jan-17,California,2,2,4
6-Jan-17,Florida,5,6,11
4-Jan-17,California,3,1,4
3-Jan-17,Texas,0,4,4
1-Jan-17,Mississippi,0,5,5
1-Jan-17,Texas,1,3,4
1-Jan-17,Florida,0,7,7
